sample_size	clusters_data_all_mean	clusters_data_all_max	clusters_data_all_min	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6	Rep7	Rep8	Rep9	Rep10	Rep11	Rep12	Rep13	Rep14	Rep15	Rep16	Rep17	Rep18	Rep19	Rep20	Rep21	Rep22	Rep23	Rep24
1	2896.67	3166	2704	3016	2704	3166	2714	2900	2900	2900	2714	2714	3016	2852	3016	3166	2704	2929	2704	3016	2852	2929	2929	2911	2852	3016	2900
2	3253.71	3617	3030	3187	3105	3398	3115	3136	3136	3140	3030	3115	3289	3315	3490	3431	3398	3338	3042	3435	3157	3617	3233	3168	3115	3268	3431
3	3547.46	3860	3304	3566	3304	3591	3372	3372	3610	3519	3391	3470	3467	3835	3860	3610	3597	3492	3463	3667	3632	3755	3783	3365	3365	3399	3654
4	3775.62	4009	3482	3733	3482	3951	3805	3586	3805	3962	3658	3596	3586	4009	3966	3783	3820	3648	3596	3805	3999	3963	4001	3482	3796	3782	3801
5	3967.58	4141	3695	3854	3695	4115	3952	3759	4132	4102	3871	3815	3890	4132	4092	3919	4141	3854	3886	3925	4100	4132	4113	3756	4125	3924	3938
6	4145.67	4287	3865	3996	4061	4224	4251	4085	4251	4234	4031	4224	4060	4251	4258	4212	4263	4031	4048	4060	4263	4224	4212	3865	4287	4055	4050
7	4320.29	4381	4153	4153	4366	4341	4381	4179	4381	4356	4153	4341	4153	4381	4381	4348	4356	4348	4371	4381	4356	4366	4348	4179	4371	4341	4356
8	4462.00	4462	4462	4462	4462	4462	4462	4462	4462	4462	4462	4462	4462	4462	4462	4462	4462	4462	4462	4462	4462	4462	4462	4462	4462	4462	4462
