sample_size	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6	Rep7	Rep8	Rep9	Rep10	Rep11	Rep12	Rep13	Rep14	Rep15	Rep16	Rep17	Rep18	Rep19	Rep20	Rep21	Rep22	Rep23	Rep24
1	2965	2663	2641	2663	2663	2803	2663	2868	2864	2864	3053	2965	2663	2771	2771	2868	2864	2864	2868	2965	2771	2663	2771	3053
2	3193	3034	3197	2953	2916	2995	3244	3154	3017	3154	3297	3226	2953	3148	3346	3154	3048	3174	3031	3202	3148	2916	3034	3326
3	3388	3282	3428	3222	3266	3394	3392	3292	3396	3312	3406	3411	3392	3383	3521	3383	3200	3383	3229	3411	3325	3337	3222	3425
4	3665	3471	3567	3399	3383	3571	3548	3577	3551	3502	3518	3663	3548	3451	3575	3499	3430	3471	3394	3519	3394	3540	3424	3546
5	3714	3520	3635	3448	3467	3640	3654	3657	3641	3564	3657	3734	3731	3520	3714	3770	3513	3585	3666	3753	3564	3677	3572	3610
6	3782	3615	3719	3636	3580	3782	3714	3714	3798	3629	3818	3785	3767	3615	3769	3818	3657	3629	3785	3811	3629	3745	3615	3745
7	3865	3862	3781	3846	3781	3833	3781	3781	3834	3834	3862	3865	3833	3862	3846	3865	3865	3834	3865	3874	3711	3833	3862	3833
8	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907
