sample_size	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6	Rep7	Rep8	Rep9	Rep10	Rep11	Rep12	Rep13	Rep14	Rep15	Rep16	Rep17	Rep18	Rep19	Rep20	Rep21	Rep22	Rep23	Rep24
1	2868	2771	2868	2641	2771	2864	2663	2771	2864	2965	2663	2864	2641	2868	2663	2803	2803	2864	2965	2771	2641	2641	2771	2868
2	3104	3346	3154	3031	3226	3062	3034	3174	3297	3202	3034	3154	3124	3154	3034	2953	3062	3154	3124	3148	3031	3048	3174	3031
3	3236	3538	3312	3224	3538	3292	3288	3411	3479	3312	3119	3292	3236	3463	3288	3227	3200	3312	3236	3288	3236	3272	3317	3393
4	3357	3665	3413	3391	3593	3388	3451	3476	3568	3502	3344	3422	3387	3577	3424	3548	3518	3502	3357	3471	3515	3413	3519	3557
5	3467	3733	3491	3558	3716	3572	3560	3716	3635	3734	3499	3652	3534	3657	3471	3654	3657	3564	3491	3572	3640	3491	3753	3727
6	3580	3811	3629	3657	3785	3827	3671	3785	3702	3819	3601	3724	3657	3818	3767	3827	3818	3785	3629	3671	3726	3702	3801	3779
7	3711	3846	3834	3711	3865	3862	3874	3865	3781	3865	3711	3874	3865	3865	3833	3874	3865	3865	3711	3711	3865	3834	3846	3862
8	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907
