sample_size	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6	Rep7	Rep8	Rep9	Rep10	Rep11	Rep12	Rep13	Rep14	Rep15	Rep16	Rep17	Rep18	Rep19	Rep20	Rep21	Rep22	Rep23	Rep24	Rep25	Rep26	Rep27	Rep28	Rep29	Rep30
1	3053	2868	2641	2864	2868	2663	2641	2771	2868	2663	3053	2771	2868	3053	2864	2663	3053	2663	2771	2868	2641	2663	2965	2663	3053	2663	2803	2803	2868	2771
2	3326	3148	3124	3062	3154	3176	2896	3346	3287	3067	3346	3148	3154	3297	3154	3067	3297	2953	3114	3067	3197	3067	3326	3017	3197	3244	3193	3293	3154	2896
3	3490	3383	3298	3170	3463	3305	3119	3519	3393	3165	3519	3229	3269	3530	3463	3417	3479	3097	3317	3288	3428	3227	3538	3155	3394	3392	3305	3490	3383	3299
4	3665	3502	3383	3278	3559	3383	3344	3613	3491	3344	3665	3451	3355	3604	3557	3551	3582	3470	3519	3424	3567	3424	3593	3355	3575	3509	3575	3665	3673	3413
5	3753	3734	3639	3501	3640	3501	3471	3708	3659	3471	3714	3727	3491	3648	3727	3641	3661	3610	3601	3560	3635	3560	3714	3461	3637	3580	3645	3733	3734	3499
6	3811	3785	3704	3719	3785	3580	3767	3798	3745	3601	3767	3818	3629	3738	3785	3798	3719	3714	3657	3601	3702	3601	3769	3714	3767	3719	3704	3769	3785	3745
7	3846	3834	3781	3781	3834	3781	3833	3874	3833	3711	3833	3862	3834	3862	3865	3874	3781	3781	3711	3711	3834	3711	3833	3781	3862	3781	3781	3833	3834	3833
8	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907
