sample_size	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6	Rep7	Rep8	Rep9	Rep10	Rep11	Rep12	Rep13	Rep14	Rep15	Rep16	Rep17	Rep18	Rep19	Rep20	Rep21	Rep22	Rep23	Rep24
1	2771	2864	3053	2641	2771	2771	2771	2641	2868	2864	2771	3053	2965	2803	3053	2864	2663	2803	3053	2803	2641	2771	2803	2641
2	2896	3048	3346	3031	3148	3114	3114	3124	3287	3174	3346	3346	3176	2995	3244	3297	3067	3115	3287	3114	2995	3346	3114	3048
3	3253	3200	3411	3224	3383	3317	3338	3298	3519	3411	3530	3530	3324	3200	3471	3406	3288	3227	3393	3388	3394	3530	3195	3272
4	3339	3430	3575	3307	3502	3637	3477	3383	3665	3502	3590	3673	3417	3278	3638	3567	3471	3548	3515	3665	3571	3604	3385	3355
5	3648	3513	3690	3610	3564	3753	3534	3639	3735	3731	3648	3727	3641	3461	3677	3640	3585	3654	3666	3753	3714	3648	3448	3622
6	3779	3580	3738	3704	3657	3801	3782	3769	3819	3798	3769	3785	3724	3615	3769	3785	3629	3724	3782	3801	3769	3779	3615	3714
7	3862	3711	3862	3781	3865	3846	3833	3846	3874	3834	3834	3834	3781	3711	3846	3834	3711	3781	3833	3846	3846	3862	3711	3781
8	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907
