sample_size	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6	Rep7	Rep8	Rep9	Rep10	Rep11	Rep12	Rep13	Rep14	Rep15	Rep16	Rep17	Rep18	Rep19	Rep20	Rep21	Rep22	Rep23	Rep24
1	2641	2864	2864	2663	2663	3053	2965	2868	2864	2868	2771	2864	3053	3053	2965	2803	2868	2641	2864	2663	2771	2868	2864	2641
2	3124	3202	3062	2916	3034	3244	3176	3154	3062	3287	3346	3048	3326	3346	3202	3114	3067	3048	3062	3067	3114	3154	3297	2995
3	3298	3411	3333	3155	3288	3469	3363	3463	3333	3463	3538	3406	3428	3471	3318	3521	3165	3253	3200	3165	3388	3463	3530	3224
4	3383	3663	3519	3339	3344	3546	3451	3673	3430	3559	3593	3590	3540	3597	3476	3665	3357	3339	3385	3344	3519	3557	3673	3387
5	3639	3716	3578	3548	3471	3708	3585	3734	3513	3734	3666	3648	3677	3731	3578	3753	3610	3648	3690	3471	3594	3622	3740	3513
6	3769	3801	3636	3769	3601	3745	3671	3785	3580	3785	3785	3769	3769	3767	3801	3811	3745	3769	3818	3601	3636	3702	3798	3726
7	3833	3846	3846	3846	3711	3833	3711	3834	3781	3834	3865	3834	3846	3862	3846	3874	3833	3846	3862	3833	3711	3781	3874	3865
8	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907
