sample_size	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6	Rep7	Rep8	Rep9	Rep10	Rep11	Rep12	Rep13	Rep14	Rep15	Rep16	Rep17	Rep18	Rep19	Rep20	Rep21	Rep22	Rep23	Rep24	Rep25	Rep26	Rep27	Rep28	Rep29	Rep30
1	2641	2965	2771	2868	2965	3053	3053	2771	2771	2868	2803	2663	2965	2864	2803	2864	2803	2864	2864	3053	2864	2771	2663	2868	2868	2771	2868	2663	2965	2864
2	3031	3176	3114	3104	3193	3293	3293	3114	3034	3287	2995	3067	3104	3174	3193	3154	3115	3297	3174	3244	3202	3148	3034	3031	3031	3346	3148	2916	3124	3048
3	3224	3275	3222	3425	3333	3392	3394	3388	3471	3519	3394	3269	3275	3282	3490	3269	3462	3463	3282	3471	3324	3383	3363	3165	3272	3519	3229	3165	3266	3253
4	3401	3357	3478	3546	3427	3597	3470	3449	3619	3613	3571	3471	3394	3471	3582	3355	3548	3673	3502	3638	3502	3451	3638	3355	3557	3613	3451	3491	3413	3339
5	3534	3610	3594	3641	3594	3637	3580	3578	3708	3735	3661	3572	3645	3585	3753	3622	3610	3770	3594	3677	3731	3564	3708	3622	3727	3708	3520	3659	3499	3448
6	3657	3745	3811	3798	3811	3769	3714	3801	3745	3819	3719	3827	3799	3671	3801	3779	3714	3818	3636	3769	3769	3629	3799	3702	3818	3745	3779	3767	3629	3738
7	3865	3834	3846	3834	3846	3846	3781	3865	3834	3874	3781	3874	3874	3711	3846	3862	3781	3862	3711	3834	3834	3711	3833	3781	3865	3834	3862	3833	3834	3846
8	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907	3907
